Priority,Short Description
P4,"Reassign accesskeys within prefpanes that contain tabs, as they are now separate."
P4,"""Reassign access keys within preference panes containing tabs, as they are now functioning separately."""
P4,Reassign access keys in preference panes that are now separated by tabs.
P4,Reshuffle accesskeys in prefpanes with tabs since they are now separated.
P4,Adjust the distribution of accesskeys within prefpanes with separate tabs.
P4,Change the distribution of accesskeys within prefpanes that have tabs since they are now separate entities.
P3,The spinbuttons in the number textbox of Mac account manager are disrupted by tiny buttons.
P3,The number spinbuttons in the Mac account manager are disrupted by the small buttons.
P3,Resetting default homepage clears the textbox on Windows.
P3,Returning the initial launch page clears the text box on Windows.
P3,Modify the names of entities in a way that all languages recognize the removal of ellipses when replying or forwarding.
P3,Adjust the names of entities in order for all locations to recognize the elimination of ellipsis in reply and forward actions.
P3,The attachment section on the message reader cannot be targeted or navigated with a keyboard and requires a [TAB] key to stop on.
P3,The attachment panel in the message reader cannot be focused or accessed using the keyboard and requires a [TAB] stop.
P4,The down arrow is not present for IMAP directories.
P4,The down arrow is not present for IMAP folders.
P4,The drop-down arrow is not present when it comes to IMAP directories.
P4,The down arrow is not present for IMAP directories.
P4,The drop-down arrow for IMAP folders is not available.
P4,The drop down arrow is not present for folders using IMAP.
P3,The phonetic 'yomigana' input boxes within the vcard editing window become empty when users attempt to save their changes.
P3,The vcard editing window empties the 'yomigana' (phonetic) input fields when users attempt to save the changes.
P3,"""Challenge with previewing address book card in high contrast mode"""
P3,An issue with the preview pane of the address book card in high contrast mode.
P3,Include loops or methods that allow add-ons to easily alter the appearance of the message header view.
P3,Include hooks in order to allow extensions to easily adjust the display of message headers.
P3,"Receiving an error message while attempting to browse newsgroups, specifically related to a system file called msvcr80.dll and a function called memmove within the nsTArray_base::ShiftData operation.'"
P3,The incident of quickly selecting a newsgroup [@ msvcr80.dll] [@ memmove - nsTArray_base::ShiftData ] causing a malfunction.
P3,"The feature of ""Unread folders"" does not regularly refresh or update."
P3,"The ""Unread folders"" feature does not refresh."
P3,"The computer will crash if the C: drive becomes full or runs out of space, resulting in an error message that reads ""Instruction at 0x0054ff01, referencing memory at 0x00000000...."""
P3,"""Experiencing a crash due to a full or insufficiently spaced disk C: with an error notification stating: 'Error at 0x0054ff01, citing memory at 0x00000000....'"""
P3,"Refine the message header for ""other actions"" to include a suitable predefined set of actions."
P3,"Include the necessary default actions in the message header labeled ""other actions""."
P3,"In cases where the window is narrow, such as in the ""vertical view"" layout, the ""From"" address may be hidden by the reply or forward buttons."
P3,"The ""From"" address is hidden when the window is condensed, such as in a ""vertical view"" display, due to the presence of the reply and forward buttons."
P3,Take out email accounts from the previous account setup wizard in Thunderbird.
P3,Eliminate email accounts from previous account setup tool in Thunderbird.
P4,Text next to symbols doesn't function properly in the address book and composing screens.
P4,The text beside the icons is not functional in the address book and compose windows.
P4,There is a problem with the text next to the icons in the address book and compose windows.
P4,"In the address book and compose windows, the text alongside icons is not functional."
P4,The text alongside the icons is not functional in both the address book and compose windows.'
P4,The presence of text alongside icons is not effective in both the address book and compose windows.
P4,Set the default icons in the toolbar of Mac to a smaller size.
P4,Set the toolbar's icons to their small size by default on Mac.
P4,Change the default setting of the Mac to display small icons in the toolbar.
P4,Change the default settings for the Mac toolbar icons to appear smaller.
P4,Automatically set the toolbar icons to a smaller size for Mac devices.
P4,Set the toolbar icons to appear smaller as the default for Mac.
P4,The icons in the threadpane column are not properly aligned in the newly updated Windows XP theme.
P4,The icons in the threadpane column are not properly aligned with the new Windows XP theme.
P4,Icons in the threadpane column are not properly aligned in the latest Windows XP design.
P4,The icons in the threadpane column are not properly aligned in the new Windows XP theme.
P4,"In the updated Windows XP theme, the icons in the threadpane column are not properly aligned."
P4,The icons in threadpane columns are not aligned at the center in the new Windows XP theme.
P3,The attachment checker is not compatible with CJK keywords.
P3,The attachment checker is not functional for CJK keywords.
P3,"Long names of attachments can cause text to overlap or be shortened, resulting in line breaks that look strange.'"
P3,"Using lengthy attachment names can cause issues with faceted search, such as text appearing overlapped or truncated, as well as unexpected line breaks."
P3,"Suggest enhancing header panel measurements (e.g. ""other actions"" button excessive in size, correct alignment on right side, decrease vertical gap)."
P3,"Modify the header pane measurements (such as adjusting the size of the ""other actions"" button, correcting the alignment on the right, and minimizing the vertical gap)."
P3,The clear icon follows the windows style.
P3,The clear icon follows the style of Windows.
P3,"""Require address book source icons specifically designed for Vista platform"""
P3,We require icons relevant to Windows Vista for the different sources in the address book.
P3,[Autoconfiguration] incorrect pop-up displayed when testing username in account
P3,[Autoconfig] incorrect notification displayed for Username in account test.
P3,The timeline widget of the [faceted search] has shifted to the side.
P3,The timeline widget for faceted search has shifted to one side.
P3,The Aero toolbar button for spell-checking hovers upward when selected.
P3,"When hovering, the Aero toolbar button for spell-checking moves upwards/shifts up/jumps upward."
P3,[Enhancements] for the icon of the new toolbar button in Vista
P3,[Enhancements] for the toolbar button icons on [Vista]
P3,Incompatibilities among Windows XP themes
P3,Incompatibilities within the design elements of the Windows XP theme
P3,"(Header): When the feature ""Display icons and text"" is activated, the buttons for ""Archive"" and ""Junk"" appear larger than the other buttons."
P3,"(Header) Enabling the ""Show icons and text"" setting causes the ""Archive"" and ""Junk"" buttons to appear larger than the other buttons."
P3,The star symbol displayed in the Message list pane is excessively large.
P3,The size of the Star Icon in the Message list pane is excessive.'
P3,Enhanced presentation for directories
P3,Revised design for folders
P3,The search bar does not retain settings when opened in new windows.
P3,The search bar is unable to retain its settings in new windows.
P3,The Windows XP operating system does not have the option to respond to a list when using small icons.
P3,The response to list symbol is absent on Windows XP using compact icons.
P5,[Only available for 64-bit unofficial version] Shredder resumes operation upon exiting.
P5,[Only applicable for the unofficial 64-bit version] The shredder application restarts after I exit.
P5,[This applies to the 64 bit unofficial version only] The shredder will restart once I close it.
P5,Shredder re-opens upon exiting in the unofficial 64-bit version.
P5,[Only available in the 64 bit unofficial version] Shredder resumes operation once I close it.
P5,[The unofficial 64-bit version is required for this feature to work.] Shredder will resume functioning when I exit.
P5,[This feature is only available in the 64 bit unofficial version] Shredder resumes functioning after I exit the program.
P5,"Shredder will reopen upon exiting, but only on the 64 bit unofficial version.'"
P5,[Only available in the unofficial 64-bit version] Shredder resumes operation after I close it.
P5,[Non-official version with 64 bits only] Shredder restarts after I exit.
P5,[Only available in the unofficial 64-bit version] Shredder restarts upon exiting.
P5,"The shredder will reopen once I close it, but only in the unofficial 64-bit version."
P5,[64-bit unauthorized edition exclusively] The shredder resumes operation once I close it.
P5,[This feature is only available in the 64 bit unofficial version] Shredder resumes functioning after I have exited the program.
P5,"[Only available in the unofficial 64-bit version] Upon exiting, Shredder will resume operation."
P5,[Only available in the unofficial 64-bit version] Shredder restarts after I close it.
P5,"After quitting, Shredder will reopen only on the unofficial 64-bit version."
P5,"[For the unofficial 64 bit version only], Shredder resumes functioning after I close it."
P5,"The Shredder program restarts upon exiting, but only for the unauthorised 64 bit version."
P5,[Only available in unofficial 64-bit version] Shredder resumes operation upon exiting.
P3,unable to stop
P3,unable to stop
P5,"There are no emails that were sent, no errors were produced, and reception was successful."
P5,No emails are dispatched - failure not produced - receiving is acceptable.
P5,"No emails are being sent, an error has not occurred, and the receiving process is functioning properly."
P5,"No emails are being transmitted, there is no error being produced, and the receiving is functioning properly."
P5,"There are no emails being sent and there is no error being produced, indicating that the receiving process is functioning properly."
P5,"Emails are not being sent, there is no error present, and receiving is functioning properly."
P5,"There are no emails being sent, no errors are being produced, and receiving is functioning correctly."
P5,No emails are being sent - an error has not occurred - receiving function is operating normally.
P5,No emails are being sent - there is no error - receiving function is functioning properly.
P5,"Emails are not being sent, there is no error occurring and the receiving process is functioning properly."
P5,Received with no errors - no mail sent - receiving confirmed.'
P5,"There are no emails being sent, there is no error being produced, and the receiving process is running smoothly."
P5,"There are no emails being sent and no errors are being produced, indicating that receiving is functioning properly."
P5,"Mails have not been sent, no errors have occurred, and the receiving process is functioning properly."
P5,"There are no emails being sent and no errors have been produced, but the receiving process is operating normally."
P5,"There were no emails sent, and there was no error reported. The receiving process was functioning properly."
P5,"Emails are not being sent, no error has occurred, and receiving is functioning properly."
P5,No emails have been transmitted - no errors were produced - reception is functioning properly.
P5,"Emails are not sent, no errors occur, and receiving is functioning properly."
P5,"Emails were not sent, and no errors were generated. Receiving function is functional."
P3,"""Changing Title on ""Tab"" Click, Ending with Signature on ""Tab"" Selection When Using an 'html' Signature"""
P3,"""Title Heading - proceeding to - Finalizing Signature on ""TAB"" Option through Implementation of 'html' Type of Signature"""
P5,"Whenever an HTML message is posted on a NNTP forum, it inevitably leads to an inquiry about the appropriate format to use. To prevent this, there should be a default setting in place for this query."
P5,"When submitting an HTML message to a NNTP forum, there is often confusion about the appropriate format to use. To prevent this, there should be a set standard in place to address this common question."
P5,"Whenever one posts an HTML message to a NNTP forum, it inevitably prompts a query about the appropriate format. It would be beneficial to have a pre-established choice for this inquiry in order to prevent it from occurring."
P5,"Whenever you post an HTML message to a NNTP forum, you will inevitably encounter inquiries about the proper format to use. To prevent this, there should be a predefined answer readily available."
P5,"Whenever an HTML message is shared on an NNTP forum, it inevitably prompts an inquiry regarding the appropriate format to use. To prevent this constant questioning, there should be a default format already in place."
P5,"Whenever an HTML message is posted on a NNTP forum, it inevitably prompts a query regarding the appropriate format to use. It would be beneficial to have a predetermined solution to this issue in order to prevent it from arising."
P5,"When sharing an HTML message on a NNTP forum, there is often an inquiry about the appropriate formatting to utilize. Having a predetermined standard for this issue would help prevent it from being asked."
P5,"Whenever you post an HTML message to a NNTP forum, it is common to receive inquiries about the appropriate format to use. To prevent this, there should be a pre-established format in place to address this question."
P5,"Whenever an HTML message is posted to a NNTP forum, the format to be used is often queried. To prevent this, a preconfigured option should be available."
P5,"When sharing an HTML message on a NNTP forum, there is usually confusion about the proper format to use. It would be helpful to have a standard setting in place to prevent this recurring question."
P5,"When sharing an HTML message on a NNTP forum, it is common to receive an inquiry about the proper formatting to use. It would be helpful to have a pre-established format in place to prevent this question from arising."
P5,"Whenever someone posts an HTML message on a NNTP forum, it often prompts a question about which format should be utilized. To prevent this recurring question, there should be a default setting in place."
P5,"Whenever an HTML message is posted to a NNTP forum, there is always an inquiry about the appropriate format to use. A predefined option should be available to prevent this recurring question."
P5,"When you share an HTML message on a NNTP forum, it usually prompts a query regarding the appropriate format to be used. In order to prevent this, there ought to be a predetermined setting for addressing this question."
P5,"When publishing an HTML post on a NNTP forum, there is typically an inquiry about the required format. It would be helpful to have a predefined answer to this question to prevent it from occurring."
P5,"Whenever an HTML message is posted on a NNTP forum, it inevitably leads to an inquiry about the appropriate format to employ. To prevent this recurring question, there should be a predetermined option in place."
P5,"When an HTML message is posted to a NNTP forum, it often prompts a question regarding the appropriate format. It would be beneficial to have a predetermined option available to prevent this inquiry."
P5,"When sending an HTML message on a NNTP forum, there is often an inquiry about the appropriate format to use. It would be beneficial to have a default setting for this query in order to prevent it."
P5,"Whenever an HTML post is made on a NNTP forum, there is always an inquiry about the appropriate format to use. To prevent this, a predetermined response should be in place."
P5,"Whenever an HTML message is posted on a NNTP forum, there is always an inquiry about which format to use. To prevent this, there should be a pre-established standard for the format."
P3,"Following the upgrade to version 3.1.x, RSS feeds are now unthreaded."
P3,The RSS feeds are now unthreaded following the upgrade to version 3.1.x.
P3,"When Drafts are saved in the Inbox, clicking twice on a message will execute the action of ""Editing as New..."" instead of ""Opening Message in New Tab""."
P3,"When Drafts are saved in the Inbox, clicking twice on a message will trigger the action ""Edit as New..."" instead of ""Open Message in New Tab."""
P3,Some new emails with attachments may not show an attachment indicator until the email is chosen.
P3,The attachment indicator is absent for certain new emails containing attachments until said email is chosen.
P3,Creating a new subfolder in the Outbox Local Folder is not feasible.
P3,It is not feasible to generate a fresh subdirectory within the Outbox Local Folder.
P3,issue with setting up
P3,problem with installation
P5,The requirement to replace an old registry with a new one.
P5,Requiring replacement of outdated register with a fresh version.
P5,The necessity to replace the existing register with a new one.
P5,The necessity to replace an old registry with a new one.
P5,Requirement to replace the previous registry with a more current version'
P5,There is a need to replace the old registration with a fresh one.
P5,Necessity to replace the old register with a new one.
P5,The necessity to replace an old registry with a new one.
P5,"""Requirement to replace the outdated register with a new one"""
P5,The requirement to replace the old registry with a new one is necessary.
P5,Replacing the old register with a new one is necessary.
P5,The requirement to replace the existing register with a new one.
P5,Requirement for replacing an outdated register with a new version'
P5,The requirement to replace an outdated register with a new one.
P5,It is necessary to replace the current registry with a new one.
P5,Requiring the replacement of an outdated register with a new one.
P5,Requirement to replace the old registry with a fresh one'
P5,Requirement to replace an outdated register with a new version'
P5,Requirement to replace previous record with a fresh one'
P5,It is necessary to replace the old register with a new one.
P3,Attachments are not visible if the message body remains empty.
P3,Attachments are not visible if there is no content in the email message.
P3,Attachments will not be shown by Thunderbird if there is absence of text in the body.
P3,Attachments will not be shown by Thunderbird if the body of the message is empty.
P3,"An unknown software error (0x0000409) happened within the application location 0x00db9ad7 for THUNDERBIRD.EXE, version 10.0."
P3,"The program Thunderbird 10.0, denoted by the file THUNDERBIRD.EXE, experienced an unknown software issue with the code 0x0000409 at the location 0x00db9ad7."
P5,Unable to access Thunderbird.
P5,Unable to access Thunderbird.
P5,Incapable of accessing Thunderbird.
P5,Unable to access Thunderbird.
P5,Incapable of accessing Thunderbird.
P5,incapable of accessing Thunderbird
P5,Incapable of accessing Thunderbird.
P5,Unable to access Thunderbird.
P5,Unable to access Thunderbird.
P5,Unable to access Thunderbird
P5,Unable to access Thunderbird.
P5,Unable to access Thunderbird.
P5,Unable to launch Thunderbird.
P5,Unable to access Thunderbird.
P5,Unable to access Thunderbird.
P5,incapable of launching Thunderbird
P5,Unable to access Thunderbird.
P5,unable to access Thunderbird
P5,Unable to access Thunderbird.
P5,Unable to access Thunderbird.
P4,Gmail is trapped in the recycler bin.
P4,Gmail caught in recycler
P4,Gmail is experiencing a bottleneck in the recycler.
P4,The email service gmail is trapped in the recycler.
P4,The Gmail application is frozen in the recycling process.
P4,Gmail is remaining in a recycler state.
P5,"When the graphs folder is a symbolic link, collectstats.pl moves away from the root directory of bugzilla.'"
P5,The collectstats.pl file moves outside of the main bugzilla directory if the graphs subdirectory is a symbolic link.
P5,"When graphs subdirectory is a symbolic link, collectstats.pl moves away from the main bugzilla directory."
P5,"When graphs subdir is a symbolic link, collectstats.pl moves away from the bugzilla root directory."
P5,This means that 'collectstats.pl' moves out of the main bugzilla folder if the 'graphs' subdirectory is a symbolic link.
P5,Collectstats.pl moves away from the main bugzilla root directory if the graphs subdirectory is a symbolic link.'
P5,The collectstats.pl script moves out of the main bugzilla directory if the graphs subdirectory is a symbolic link.
P5,"When the graphs subdirectory is a symbolic link, collectstats.pl moves away from the root directory of Bugzilla.'"
P5,The 'collectstats.pl' script departs from the main bugzilla directory if the graphs subdirectory is a symbolic link.
P5,collectstats.pl moves from the main bugzilla directory once it encounters a symbolic link in the graphs subdirectory.'
P5,The collectstats.pl script navigates out of the bugzilla root folder when it encounters a symbolic link for the graphs subdirectory.
P5,"""Collectstats.pl departs from the bugzilla root folder if the graphs subdirectory is a symbolic link."""
P5,collectstats.pl moves out of the bugzilla root directory if the graphs subdir is represented by a symbolic link'
P5,The collectstats.pl script departs from the main bugzilla root directory if the graphs subdirectory is represented by a symbolic link.
P5,The collectstats.pl script moves out of the bugzilla root folder if the graphs subdirectory is a symbolic link.
P5,"When the graphs subdirectory is a symbolic link, collectstats.pl moves out of the bugzilla root directory'"
P5,"When the graphs subdir is a symbolic link, collectstats.pl moves away from the main bugzilla root directory."
P5,The collectstats.pl script moves out of the bugzilla root directory if the graphs subdirectory is a symbolic link.
P5,collectstats.pl moves out of the bugzilla root folder if the graphs subdirectory is a symlink.'
P5,"When graphs subdir is a symbolic link, collectstats.pl moves away from the root directory of bugzilla."
P5,Incorrect positioning of the closing parenthesis for Alias.
P5,Incorrect arrangement of ) in Alias
P5,Incorrect positioning of the ) symbol in Alias.
P5,Incorrect positioning of parentheses in Alias.
P5,Incorrect positioning of parentheses for Alias.
P5,Incorrect positioning of the parentheses in Alias
P5,Inaccurate placement of ) in Alias.
P5,Incorrect positioning of the parentheses in Alias.
P5,Incorrect positioning of parenthesis for Alias.
P5,Incorrect positioning of ) in Alias
P5,Incorrect positioning of the closing parenthesis in Alias
P5,Incorrect arrangement of parentheses for Alias.
P5,Poor positioning of ) in Alias
P5,Incorrect positioning of ) in Alias
P5,Incorrect positioning of the parenthesis in the context of Alias
P5,Improper arrangement of ) in Alias
P5,Incorrect placement of parentheses in Alias.
P5,Incorrect positioning of the ) symbol in Alias.
P5,Improper arrangement of bracket symbols in Alias.
P5,Incorrect positioning of the bracket ) in Alias.
P5,Unidentified elements absent in the sidebar script.
P5,Sidebar.cgi lacks essential connections.
P5,Sidebar.cgi is lacking connections.
P5,Unidentified sections in sidebar.cgi
P5,Missing elements in the sidebar.cgi'
P5,Broken connections in sidebar.cgi
P5,Unavailable connections in sidebar.cgi
P5,incomplete connections within sidebar.cgi
P5,Sidebar.cgi does not have all necessary connections.
P5,Sidebar.cgi is lacking important connections.
P5,Sidebar.cgi is lacking certain essential connections.
P5,Sidebar.cgi is lacking important connections.
P5,Sidebar.cgi requires additional elements or components.
P5,Unavailable connections in sidebar.cgi
P5,The sidebar.cgi is lacking necessary connections.
P5,Absence of connections in sidebar script'
P5,unavailable connections within the sidebar'
P5,absent connections in sidebar.cgi'
P5,Unavailable connections in sidebar.cgi
P5,Unidentified elements in sidebar script.
P4,"When Windows 98 is used, the operating system becomes ""Other."""
P4,The operating system changes to a different version when Windows98 is utilized.
P4,The operating system changes to 'Other' when utilizing Windows 98.
P4,The operating system transforms into a different version once Windows98 is utilized.
P4,The operating system transforms into a different one once Windows98 is utilized.
P4,The operating system transforms into a different version when utilizing windows98.
P4,"""This inclusion within the cc list is perplexing."""
P4,The function of including me on the cc list is unclear.
P4,The inclusion of my email address in the cc field is perplexing.
P4,"I find the ""add me to cc list"" function to be bewildering."
P4,Including me in the cc list option is unclear.
P4,"The addition of a ""cc"" option has caused confusion."
P5,Potentially adjustable indicators do not effectively adapt beyond 5 elements.
P5,Flags that could potentially be set do not effectively scale beyond 5 items.
P5,Flags that have the potential to be adjusted may not effectively increase beyond 5 items.
P5,Possible adjustable indicators do not effectively expand beyond a total of 5 entries.'
P5,Flags that have the potential to be adjusted may not be effective when there are more than 5 items.
P5,Flags that have the potential to be set do not efficiently accommodate more than 5 items.
P5,The potential for configurable indicators does not effectively increase beyond five items in scaling.
P5,Flags that can be potentially adjusted do not have good scalability beyond 5 items.
P5,The ability to set flags has limited effectiveness beyond five items.
P5,Flags that have the potential to be changed cannot effectively expand beyond 5 elements.
P5,Flags that can potentially be adjusted do not effectively expand beyond a quantity of 5.'
P5,The scalability of potentially adjustable flags appears to diminish significantly beyond 5 items.
P5,The potential for flags to be adjustable does not effectively accommodate more than 5 items.
P5,The effectiveness of applicable markers may diminish significantly after surpassing 5 items.
P5,Flags that have the potential to be customized do not have good scalability once the number of items exceeds 5.
P5,Flags that can be potentially adjusted do not efficiently expand beyond five objects.
P5,Flags that could potentially be adjusted do not perform efficiently when there are more than 5 items.
P5,The effectiveness of potentially adjustable indicators decreases significantly beyond a maximum of five items.
P5,The ability to potentially alter flags is not effective beyond 5 items.
P5,Potentially adjustable indicators do not exhibit good scalability beyond 5 elements.
P5,Bugzilla needs to adjust its paths in order to prevent any display malfunctions.
P5,Bugzilla needs to adjust its paths in order to prevent any rendering errors.
P5,Bugzilla must fix its paths in order to prevent any display issues.
P5,Bugzilla needs to adjust its paths in order to prevent any rendering mistakes.
P5,Bugzilla needs to update its paths to prevent rendering errors.
P5,Bugzilla needs to update its paths in order to prevent any display problems.
P5,Bugzilla needs to adjust its paths in order to prevent rendering errors.
P5,Bugzilla needs to update its paths in order to prevent display issues.
P5,Bugzilla needs to rectify its directories in order to prevent display problems.
P5,Bugzilla must modify its paths to prevent any rendering issues.
P5,Bugzilla needs to fix its paths in order to prevent rendering errors.
P5,Bugzilla needs to fix its paths to prevent any rendering issues.
P5,Bugzilla needs to adjust its paths to prevent any issues with the display.
P5,Bugzilla needs to adjust its paths in order to prevent any rendering issues.
P5,Bugzilla needs to adjust its paths in order to prevent any display issues.
P5,Bugzilla needs to fix its paths so that rendering errors can be avoided.
P5,Bugzilla needs to rectify its paths to prevent any rendering errors.
P5,Bugzilla needs to fix its paths in order to prevent any rendering issues.
P5,"To prevent display issues, Bugzilla must adjust its paths."
P5,Bugzilla is advised to modify its paths in order to prevent any display issues.
P5,"It is recommended to consistently utilize ""web server"" in place of ""webserver""."
P5,"Continuously utilize the term ""web server"" in place of ""webserver""."
P5,"Always utilize the term ""web server"" instead of ""webserver""."
P5,"Always opt for the term ""web server"" over ""webserver""."
P5,"""Consistently utilize the term ""web server"" in place of ""webserver""."""
P5,"On a regular basis, opt for the use of ""web server"" instead of ""webserver"".'"
P5,"Always employ the term ""web server"" in place of ""webserver"" on a regular basis."
P5,"""Always utilize the term ""web server"" in place of ""webserver"" for consistency."""
P5,"It is important to regularly replace the term ""webserver"" with ""web server""."
P5,"Always utilize the term ""web server"" in place of ""webserver"" consistently."
P5,"Regularly employ the term ""web server"" in place of ""webserver"""
P5,"Always utilize the term ""web server"" instead of ""webserver""."
P5,"Use ""web server"" consistently instead of ""webserver""."
P5,"Always utilize the term ""web server"" in place of ""webserver""."
P5,"It is recommended to consistently use the term ""web server"" instead of ""webserver""."
P5,"Always utilize the term ""web server"" instead of ""webserver""."
P5,"Be sure to consistently utilize the term ""web server"" instead of ""webserver""."
P5,"Please consistently utilize the term ""web server"" in place of ""webserver""."
P5,"Always utilize the term ""web server"" rather than ""webserver""."
P5,"Always use ""web server"" instead of ""webserver""."
P3,"""Consistently refer to the User Preferences as the Settings control panel."""
P3,Always refer to the Settings control panel as User Preferences.
P5,"Editwhines utilizes both the terms ""query"" and ""search"" interchangeably to refer to the same concept.'"
P5,"The term ""query"" and ""search"" are both employed by editwhines to refer to the same concept."
P5,"Editwhines uses the terms ""query"" and ""search"" interchangeably."
P5,"The website editwhines employs the terms ""query"" and ""search"" interchangeably."
P5,"Editwhines employs both ""query"" and ""search"" to refer to the same concept."
P5,"Editwhines employs both the term ""query"" and ""search"" interchangeably to refer to the same concept.'"
P5,"The term ""query"" and the term ""search"" are interchanged by editwhines to refer to one thing."
